Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM Forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
24-03-22 17:00;0.00:15:00;Offshore;Federal;Elia;;198.65;0.1;824.7;;;;;;;208.05;0.6;1608.69;2254.4;;0
24-03-22 16:45;0.00:15:00;Offshore;Federal;Elia;;191.38;0.1;728.94;;;;;;;196.74;0.1;1576.73;2254.4;;0
24-03-22 16:30;0.00:15:00;Offshore;Federal;Elia;;174.07;0.1;656.91;;;;;;;187.01;0.1;1526.27;2254.4;;0
24-03-22 16:15;0.00:15:00;Offshore;Federal;Elia;;145.65;0.1;601.56;;;;;;;177.34;0.1;1506.95;2254.4;;0
24-03-22 16:00;0.00:15:00;Offshore;Federal;Elia;;129.66;0.1;549.52;;;;;;;170.85;0.1;1447.32;2254.4;;0
24-03-22 15:45;0.00:15:00;Offshore;Federal;Elia;;125.36;0.1;491.68;;;;;;;166.84;0.1;1423.22;2254.4;;0
24-03-22 15:30;0.00:15:00;Offshore;Federal;Elia;;121.14;0.1;437.46;;;;;;;155.85;0.1;1383.4;2254.4;;0
24-03-22 15:15;0.00:15:00;Offshore;Federal;Elia;;117;0.1;402.97;;;;;;;147.72;0.1;1372.92;2254.4;;0
24-03-22 15:00;0.00:15:00;Offshore;Federal;Elia;;112.94;0.1;387.93;;;;;;;134.14;0.1;1339.79;2254.4;;0
24-03-22 14:45;0.00:15:00;Offshore;Federal;Elia;;90.82;0.1;363.15;;;;;;;129.28;0.1;1307.19;2254.4;;0
24-03-22 14:30;0.00:15:00;Offshore;Federal;Elia;;81.18;0.1;337.56;;;;;;;122.85;0.1;1275.12;2254.4;;0
24-03-22 14:15;0.00:15:00;Offshore;Federal;Elia;;72.12;0.1;301.78;;;;;;;109.43;0.1;1259.98;2254.4;;0
